source_name,title,description,url,publishedAt
IGN,Half-Life 3 Rumors Ramp Up After G-Man Voice Actor Issues Cryptic Tweet — His First in Years - IGN,Half-Life 3 rumor and speculation is in overdrive after the voice actor behind G-Man issued a cryptic tweet teasing some sort of news for 2025.,https://www.ign.com/articles/half-life-3-rumors-ramp-up-after-g-man-voice-actor-issues-cryptic-tweet-his-first-in-years,2025-01-02 10:54:06+00:00
TrueAchievements,Xbox Game Pass loses six games in January 2025 - TrueAchievements,"A total of six games, including Exoprimal and Insurgency: Sandstorm, will leave Xbox Game Pass and PC Game Pass in the first half of January 2025.",https://www.trueachievements.com/news/xbox-game-pass-leaving-soon-january-2025,2025-01-02 10:40:55+00:00
IGN,"Black Myth: Wukong Dev Bemoans Lack of Xbox Version, Points the Finger at Xbox Series S - IGN",The boss of Black Myth: Wukong developer Game Science has pointed the finger at the Xbox Series S over the lack of an Xbox version of the game.,https://www.ign.com/articles/black-myth-wukong-dev-bemoans-lack-of-xbox-version-points-the-finger-at-xbox-series-s,2025-01-02 09:40:50+00:00
Aftermath.site,"Please, Rockstar, I Just Wanted To Play 2010's Red Dead Redemption, Why Are You Sending Me Through The Circles Of Hell - Aftermath",'Everyone wants to be a landlord' - Brendan Keogh,https://aftermath.site/rockstar-launcher-pc-red-dead-redemption,2025-01-02 09:08:00+00:00
Mit.edu,"Unlocking the hidden power of boiling — for energy, space, and beyond - MIT News","MIT Associate Professor Matteo Bucci is on a quest to uncover the physics behind boiling. A better understanding of this phenomenon could enable advances in efficient energy production, electronics cooling, water desalination, medical diagnostics, and more.",https://news.mit.edu/2025/unlocking-hidden-power-boiling-matteo-bucci-0102,2025-01-02 05:00:00+00:00
GameSpot,Mario Kart Lego Sets Are Available Now - Check Out All Six In The Launch Lineup - GameSpot,"Lego's Mario Kart lineup includes six sets ranging from $15 to $80, and you can buy all of them at Amazon, Walmart, the Lego Store, and more retailers.",https://www.gamespot.com/articles/mario-kart-lego-sets-are-available-now-check-out-all-six-in-the-launch-lineup/1100-6528603/,2025-01-02 02:39:06+00:00
Ygorganization.com,Enter the World of the Yu-Gi-Oh! Market! - YGOrganization,"Since we ushered into the new year, I’ve been wanting to do more articles for YGOrganization. For this, it’ll be on current cards receiving many purchases, meta trends, and implications for current or…",https://ygorganization.com/enter-the-world-of-the-yu-gi-oh-market/,2025-01-02 01:48:06+00:00
9to5google.com,Samsung is redesigning Good Lock with One UI 7 alongside global Play Store release - 9to5Google,Samsung has confirmed plans to bring Good Lock to the Play Store and more countries alongside an app redesign.,http://9to5google.com/2025/01/01/samsung-good-lock-play-store-global-redesign/,2025-01-02 00:25:00+00:00
Nintendo Life,Accessory Maker Genki To Discuss 'Switch 2' Info And Products At CES 2025 - Nintendo Life,Including what it's making for Nintendo's next-gen hardware,https://www.nintendolife.com/news/2025/01/accessory-maker-genki-to-discuss-switch-2-info-and-products-at-ces-2025,2025-01-02 00:14:25+00:00
Forbes,Nvidia GeForce RTX 5080 Rumored For January 21st Release - Forbes,We might finally know when Nvidia is releasing the first of its RTX 5000-series cards and which model it might be,https://www.forbes.com/sites/antonyleather/2025/01/01/nvidia-geforce-rtx-5080-rumored-for-january-21st-release/,2025-01-01 23:30:50+00:00
Buzzfeed,26 Smart Purchases That Won’t Make Your Wallet Shudder - BuzzFeed,"Solving problems, saving money...there's nothing you can't do.",https://www.buzzfeed.com/melanie_aman/smart-cheap-products-1,2025-01-01 23:01:02+00:00
